City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Cabedelo,BR,-6.9811,-34.8339,79.47,77,98,9.4,overcast clouds
110,Yar-Sale,RU,66.8333,70.8333,15.04,86,100,8.77,overcast clouds
111,Ust-Kuyga,RU,70.0167,135.6,21.15,82,6,6.31,clear sky
112,Belyy Yar,RU,53.6039,91.3903,53.85,45,0,4.47,clear sky
113,Surt,LY,31.2089,16.5887,60.35,76,0,8.16,clear sky
114,Port Hawkesbury,CA,45.6169,-61.3485,38.17,88,20,4.61,few clouds
115,Tessalit,ML,20.1986,1.0114,70.29,23,0,9.8,clear sky
116,Tura,IN,25.5198,90.2201,75.99,82,25,5.66,scattered clouds
117,Bubaque,GW,11.2833,-15.8333,74.52,76,8,15.68,clear sky
118,Lopatyn,UA,50.2202,24.8483,30.25,75,7,3.22,clear sky
119,Pisco,PE,-13.7,-76.2167,65.01,82,0,14.97,clear sky
120,Aldan,RU,58.6031,125.3894,28.0,86,100,13.31,light snow
121,Rawson,AR,-43.3002,-65.1023,60.93,72,0,22.1,clear sky
122,Calabozo,VE,8.9242,-67.4293,77.86,76,100,6.51,overcast clouds
123,Provideniya,RU,64.3833,-173.3,32.36,86,100,25.01,light snow
124,Mackay,AU,-21.15,149.2,83.68,73,12,18.41,few clouds
125,Narsaq,GL,60.9167,-46.05,25.74,90,54,0.56,broken clouds
126,Novyy Svit,UA,47.8059,38.0211,51.64,75,100,6.04,overcast clouds
127,Kayerkan,RU,69.3497,87.7602,3.52,91,100,9.22,overcast clouds
128,Carlos Chagas,BR,-17.7031,-40.7664,69.96,81,100,6.58,overcast clouds
129,Tokur,RU,53.1333,132.9,29.1,72,17,3.76,few clouds
130,Raybag,IN,16.4833,74.7833,77.7,51,100,7.2,overcast clouds
131,Namibe,AO,-15.1961,12.1522,72.16,78,58,3.4,broken clouds
132,Siyabuswa,ZA,-25.1132,29.0445,60.31,93,98,0.78,light rain
133,Atuona,PF,-9.8,-139.0333,79.74,79,12,18.3,few clouds
134,Naryan-Mar,RU,67.6713,53.087,31.98,97,100,8.3,overcast clouds
135,San Pedro,PH,14.35,121.0167,88.32,64,40,5.75,scattered clouds
136,Soyo,AO,-6.1349,12.3689,78.37,92,100,6.73,overcast clouds
137,Burnie,AU,-41.0667,145.9167,61.92,61,100,7.16,light rain
138,Lensk,RU,60.7253,114.9278,37.63,97,99,12.91,light rain
139,Verkhnevilyuysk,RU,63.4453,120.3167,35.33,97,100,8.93,overcast clouds
140,Bredasdorp,ZA,-34.5322,20.0403,60.62,91,100,3.65,overcast clouds
141,Darhan,MN,49.4867,105.9228,56.93,25,16,16.17,few clouds
142,Chapais,CA,49.7834,-74.8492,24.58,91,65,8.05,broken clouds
143,Igarka,RU,67.4667,86.5833,8.64,91,98,9.95,overcast clouds
144,Spresiano,IT,45.7791,12.2563,47.61,58,10,3.44,clear sky
145,Verkhoyansk,RU,67.5447,133.385,23.4,74,75,5.08,broken clouds
146,Morondava,MG,-20.2833,44.2833,79.63,80,0,1.23,clear sky
147,Shimoda,JP,34.6667,138.95,62.96,82,100,6.22,moderate rain
148,Paso De Los Toros,UY,-32.8167,-56.5167,60.6,78,98,9.37,overcast clouds
149,Chicama,PE,-7.8447,-79.1469,61.34,83,24,7.85,few clouds
150,Lebu,CL,-37.6167,-73.65,52.25,91,21,7.14,few clouds
151,Salalah,OM,17.0151,54.0924,77.41,88,25,3.74,scattered clouds
152,Sitka,US,57.0531,-135.33,42.08,62,100,1.5,overcast clouds
153,Itanhaem,BR,-24.1831,-46.7889,65.3,84,24,2.91,few clouds
154,Ambon,ID,-3.6954,128.1814,89.74,62,40,11.5,scattered clouds
155,Sindor,RU,62.8629,51.8905,29.84,96,82,5.61,broken clouds
156,Kuala Terengganu,MY,5.3302,103.1408,80.55,94,40,3.44,scattered clouds
157,Souillac,MU,-20.5167,57.5167,76.75,90,37,10.49,light rain
158,Myrtle Beach,US,33.6891,-78.8867,65.01,81,75,13.8,broken clouds
159,Smithers,CA,54.7804,-127.1743,44.08,50,100,3.22,overcast clouds
160,Georgetown,MY,5.4112,100.3354,84.13,93,20,6.91,thunderstorm
161,Saskylakh,RU,71.9167,114.0833,29.44,96,100,10.02,light snow
162,Margate,GB,51.3813,1.3862,51.69,72,36,1.01,scattered clouds
163,Fayaoue,NC,-20.65,166.5333,78.42,72,100,3.18,light rain
164,Mana,GF,5.6592,-53.7767,76.73,89,25,8.75,scattered clouds
165,Diego De Almagro,CL,-26.3667,-70.05,59.38,47,0,1.43,clear sky
166,Coldwater,US,41.9403,-85.0005,40.5,60,0,11.5,clear sky
167,Zhengjiatun,CN,43.5064,123.5064,55.78,20,0,8.9,clear sky
168,Isangel,VU,-19.55,169.2667,83.28,71,100,2.86,light rain
169,Rosia De Amaradia,RO,45.05,23.75,33.6,95,100,2.44,overcast clouds
170,Touros,BR,-5.1989,-35.4608,79.34,81,99,8.61,moderate rain
171,Maracaju,BR,-21.6144,-55.1683,65.66,69,76,6.55,broken clouds
172,Newton,US,42.337,-71.2092,44.06,49,1,5.01,clear sky
173,Innisfail,AU,-17.5333,146.0333,79.57,70,98,9.28,overcast clouds
174,Vuktyl,RU,63.8567,57.3094,24.96,93,34,6.49,scattered clouds
175,Hengyang,CN,26.8881,112.615,54.27,85,100,2.24,overcast clouds
176,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,20,18.41,few clouds
177,Maceio,BR,-9.6658,-35.7353,78.24,88,40,4.61,scattered clouds
178,Kavieng,PG,-2.5744,150.7967,85.95,65,39,13.73,scattered clouds
179,Qaanaaq,GL,77.484,-69.3632,-20.51,70,0,6.38,clear sky
180,Darlowo,PL,54.421,16.4107,36.99,63,32,5.97,scattered clouds
181,Raga,SS,8.4596,25.678,77.81,57,7,4.92,clear sky
182,Dobrovice,CZ,50.3693,14.9623,44.28,92,81,2.71,broken clouds
183,Bagula,IN,23.3167,88.65,86.09,67,17,14.52,few clouds
184,Port-Cartier,CA,50.0334,-66.8654,39.74,73,100,15.46,overcast clouds
185,Yeppoon,AU,-23.1333,150.7333,82.18,62,14,12.12,few clouds
186,Hilo,US,19.7297,-155.09,76.28,90,75,6.91,heavy intensity rain
187,Sao Filipe,CV,14.8961,-24.4956,70.81,78,23,4.74,few clouds
188,Upernavik,GL,72.7868,-56.1549,-3.59,90,100,12.37,overcast clouds
189,Airai,TL,-8.9266,125.4092,73.99,60,100,1.41,overcast clouds
190,Nuuk,GL,64.1835,-51.7216,23.88,85,100,4.0,overcast clouds
191,Beyneu,KZ,45.3167,55.2,58.8,41,0,6.78,clear sky
192,Pangody,RU,65.85,74.4859,13.28,92,97,9.95,overcast clouds
193,Chuy,UY,-33.6971,-53.4616,61.52,84,100,6.26,overcast clouds
194,General Roca,AR,-39.0333,-67.5833,64.62,44,100,11.5,overcast clouds
195,Meadow Lake,US,34.8014,-106.5436,72.25,12,0,10.18,clear sky
196,Tomatlan,MX,19.9333,-105.25,70.41,82,95,2.62,overcast clouds
197,Yellowknife,CA,62.456,-114.3525,19.92,49,20,12.66,few clouds
198,Poum,NC,-20.2333,164.0167,76.01,75,100,2.73,overcast clouds
199,Oktyabrskiy,RU,54.4815,53.471,41.61,87,99,5.68,overcast clouds
200,Henties Bay,NA,-22.116,14.2845,61.68,77,7,1.41,clear sky
201,Adrar,MR,20.5022,-10.0711,74.91,15,73,12.55,broken clouds
202,Curico,CL,-34.9833,-71.2333,55.63,67,3,2.19,clear sky
203,Mangrol,IN,21.1167,70.1167,79.66,69,0,7.23,clear sky
204,Pochutla,MX,15.7432,-96.4661,81.82,68,14,6.89,few clouds
205,Lasa,IT,46.6166,10.7002,36.7,71,3,2.95,clear sky
206,Cabo San Lucas,MX,22.8909,-109.9124,78.19,57,100,8.77,overcast clouds
207,Beringovskiy,RU,63.05,179.3167,31.28,95,100,7.87,light snow
208,Cherskiy,RU,68.75,161.3,15.96,82,100,3.98,overcast clouds
209,Mitsamiouli,KM,-11.3847,43.2844,80.92,72,5,5.97,clear sky
210,Grand Forks,US,47.9417,-97.4337,31.93,93,100,6.91,snow
211,Mahebourg,MU,-20.4081,57.7,75.25,94,75,1.14,thunderstorm with rain
212,Tomigusuku,JP,26.185,127.675,73.17,60,40,6.91,scattered clouds
213,Oulainen,FI,64.2667,24.8,33.82,97,100,3.58,overcast clouds
214,Samarai,PG,-10.6167,150.6667,81.66,81,100,10.54,overcast clouds
215,Arlit,NE,18.7369,7.3853,75.36,15,100,4.92,overcast clouds
216,Guerrero Negro,MX,27.9769,-114.0611,60.21,82,87,18.23,overcast clouds
217,Bengkulu,ID,-3.8004,102.2655,82.02,78,61,2.62,broken clouds
218,Paamiut,GL,61.994,-49.6678,25.07,85,93,0.34,overcast clouds
219,Obo,CF,5.3998,26.4869,70.21,74,58,3.29,broken clouds
220,Tabuk,PH,17.4189,121.4443,83.21,64,97,2.33,overcast clouds
221,Opunake,NZ,-39.4556,173.8583,66.85,60,100,2.77,overcast clouds
222,Vanavara,RU,60.34,102.2797,33.91,82,100,11.77,light snow
223,Kenora,CA,49.8167,-94.4337,27.57,93,100,6.91,mist
224,Dunedin,NZ,-45.8742,170.5036,61.81,63,5,10.0,clear sky
225,Valparaiso,CL,-33.0393,-71.6273,55.47,78,47,5.99,scattered clouds
226,Bereda,ES,43.2686,-7.5406,51.42,96,100,4.54,overcast clouds
227,Dongning,CN,44.0622,131.1207,50.59,24,6,6.62,clear sky
228,Constitucion,CL,-35.3333,-72.4167,51.37,93,57,6.71,broken clouds
229,Babstovo,RU,48.1167,132.4833,47.37,34,4,9.46,clear sky
230,Te Anau,NZ,-45.4167,167.7167,63.52,50,24,4.5,few clouds
231,North Kessock,GB,57.5013,-4.2443,54.14,77,100,3.44,overcast clouds
232,Beira,MZ,-19.8436,34.8389,70.41,94,90,10.38,overcast clouds
233,Naze,JP,28.3667,129.4833,66.06,59,41,8.57,scattered clouds
234,Romitan,UZ,39.9343,64.3814,64.35,48,0,6.91,clear sky
235,Abnub,EG,27.2696,31.1511,81.5,13,32,4.76,scattered clouds
236,Strelka,RU,58.0728,93.0344,37.58,77,42,11.9,light rain
237,Atambua,ID,-9.1061,124.8925,83.57,65,100,1.07,overcast clouds
238,Opuwo,NA,-18.0607,13.84,69.08,39,63,4.16,broken clouds
239,Shujalpur,IN,23.4,76.7167,84.51,21,0,11.36,clear sky
240,Porto Santo,PT,33.072,-16.3415,61.18,82,40,16.11,scattered clouds
241,Suntar,RU,62.1444,117.6319,40.5,82,100,12.21,light rain
242,Mbandaka,CD,0.0487,18.2603,73.04,91,92,2.62,overcast clouds
243,Arzgir,RU,45.3728,44.2206,47.59,81,47,9.64,scattered clouds
244,Whitehorse,CA,60.7161,-135.0538,32.02,54,100,10.0,overcast clouds
245,Oktyabrskoye,RU,43.0645,44.7417,39.34,93,38,6.71,scattered clouds
