City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Innisfail,AU,79.57,overcast clouds,-17.5333,146.0333,Moondarra Motel
177,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
178,Kavieng,PG,85.95,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
181,Raga,SS,77.81,clear sky,8.4596,25.678,
183,Bagula,IN,86.09,few clouds,23.3167,88.65,Raj Home
185,Yeppoon,AU,82.18,few clouds,-23.1333,150.7333,Villa Mar Colina
186,Hilo,US,76.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
198,Poum,NC,76.01,overcast clouds,-20.2333,164.0167,
203,Mangrol,IN,79.66,clear sky,21.1167,70.1167,Hotel The Royal Honours
204,Pochutla,MX,81.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
206,Cabo San Lucas,MX,78.19,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
209,Mitsamiouli,KM,80.92,clear sky,-11.3847,43.2844,Foyer ADM
211,Mahebourg,MU,75.25,thunderstorm with rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
214,Samarai,PG,81.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
215,Arlit,NE,75.36,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
217,Bengkulu,ID,82.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
220,Tabuk,PH,83.21,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
235,Abnub,EG,81.5,scattered clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
237,Atambua,ID,83.57,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
239,Shujalpur,IN,84.51,clear sky,23.4,76.7167,Krishna Sweets
252,San Patricio,US,78.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
255,Caravelas,BR,77.85,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
257,Benguela,AO,76.44,light rain,-12.5763,13.4055,Hotel Praia Morena
261,Bontang,ID,83.79,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
263,Bambous Virieux,MU,75.22,thunderstorm with rain,-20.3428,57.7575,Casa Tia Villa
264,Mataram,ID,86.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
265,Loreto,MX,77.7,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
269,Vao,NC,77.09,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
271,Bara,NG,79.56,light rain,10.3744,10.7288,
274,Camacari,BR,80.37,light rain,-12.6975,-38.3242,Sítio Blasi
275,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
278,Sola,VU,82.45,few clouds,-13.8833,167.55,Leumerus Bungalows
279,Kyabe,TD,82.18,overcast clouds,9.4515,18.9449,
281,Santa Rosa,PH,88.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
284,Panama City,PA,81.45,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
287,Bathsheba,BB,78.53,overcast clouds,13.2167,-59.5167,Atlantis Hotel
288,Broken Hill,AU,81.16,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
289,Dingle,PH,84.69,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
292,Sulphur,US,76.01,scattered clouds,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
293,Pangai,TO,82.44,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
300,Kanniyakumari,IN,82.38,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
302,Umm Lajj,SA,84.7,overcast clouds,25.0213,37.2685,Moon light Furnished Units
303,Alofi,NU,81.57,overcast clouds,-19.0595,-169.9187,Taloa Heights
305,Point Fortin,TT,77.86,broken clouds,10.1833,-61.6833,Jus Les' Suites
320,Cockburn Town,TC,78.08,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
332,Voh,NC,78.06,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
333,Kavaratti,IN,83.35,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
335,Mahroni,IN,89.38,clear sky,24.5862,78.7288,Sahu Samaj Dharmashala
337,Nakhon Phanom,TH,82.22,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
339,Porto Velho,BR,75.25,moderate rain,-8.7619,-63.9039,Ecos Hotel Conforto
347,Lar,IN,90.03,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
349,Hithadhoo,MV,82.99,scattered clouds,-0.6,73.0833,Scoop Guest House
351,Netivot,IL,86.59,few clouds,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
356,Dhidhdhoo,MV,83.68,overcast clouds,6.8833,73.1,Dhidhoo beach
357,Nellikkuppam,IN,85.19,few clouds,11.7667,79.6833,Amma Hotel
360,Sorong,ID,86.22,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
368,Biak,ID,83.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
369,Gashua,NG,84.04,overcast clouds,12.871,11.0482,Forte Oil - Old Lorry Park
371,Alibag,IN,82.47,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
373,Asaba,NG,76.51,overcast clouds,6.2006,6.7338,Crimson Suite Hotels
376,Thinadhoo,MV,83.43,overcast clouds,0.5333,72.9333,
386,Kiama,AU,80.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
389,Charlestown,AU,78.82,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
392,Benoy,TD,86.32,overcast clouds,8.9833,16.3199,
398,Flinders,AU,80.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
399,Manokwari,ID,83.88,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
401,Agbor,NG,75.79,overcast clouds,6.2518,6.1934,MIRAMAS HOTEL
404,Pointe-Noire,CG,77.54,overcast clouds,-4.7761,11.8635,Kactus Lodge
406,Anuradhapura,LK,79.14,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
407,Kilindoni,TZ,80.51,light rain,-7.9139,39.6668,Bustani B&B
412,Pedasi,PA,80.1,broken clouds,7.5333,-80.0333,Selina Pedasi
420,Anloga,GH,82.18,light rain,5.7947,0.8973,Pin Drop Hotel
422,Bandarbeyla,SO,80.15,few clouds,9.4942,50.8122,JABIR HOTEL
423,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
430,Ende,ID,83.12,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
437,Tuy Hoa,VN,79.95,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
439,Saint-Georges,GD,79.05,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
444,Carutapera,BR,75.83,overcast clouds,-1.195,-46.02,Lidera
448,Gorontalo,ID,89.78,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
452,Veinte De Noviembre,MX,78.49,broken clouds,14.9833,-92.25,Proyecto Yum kaax
465,Grand Gaube,MU,75.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
466,Chauk,MM,89.24,few clouds,20.8833,94.8167,Bo Khin Guest House
468,Turbana,CO,79.72,overcast clouds,10.2717,-75.4422,Cartagena Hills
470,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
473,Kumo,NG,80.62,light rain,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
476,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
477,Marsh Harbour,BS,76.33,broken clouds,26.5412,-77.0636,Abaco Beach Resort
480,Mareeba,AU,82.67,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
481,Floriano,BR,76.21,broken clouds,-6.7669,-43.0225,Hotel Maktub
484,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
485,Cairns,AU,86.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
489,Tabou,CI,76.75,overcast clouds,4.423,-7.3528,hotêl doufoulougou
491,Sonoita,MX,82.85,clear sky,31.85,-112.8333,Hotel internacional
500,Banda Aceh,ID,83.61,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
503,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,hotel la terminal
505,Domoni,KM,78.13,few clouds,-12.2569,44.5319,Al Djadid
514,Oistins,BB,78.48,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
523,Meulaboh,ID,81.43,overcast clouds,4.1363,96.1285,Kost Pria
524,Nabire,ID,83.28,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
